title,sort_option,imdb_id,category,listOrder
Academy Award for Best Cinematography,Release Date (Descending),tt0033405,Academy Awards,16
Academy Award for Best Cinematography,Release Date (Descending),tt0032976,Academy Awards,15
Academy Award for Best Cinematography,Release Date (Descending),tt0033152,Academy Awards,14
Academy Award for Best Cinematography,Release Date (Descending),tt0032145,Academy Awards,13
Academy Award for Best Cinematography,Release Date (Descending),tt0031381,Academy Awards,12
Academy Award for Best Cinematography,Release Date (Descending),tt0030202,Academy Awards,11
Academy Award for Best Cinematography,Release Date (Descending),tt0028944,Academy Awards,10
Academy Award for Best Cinematography,Release Date (Descending),tt0027300,Academy Awards,9
Academy Award for Best Cinematography,Release Date (Descending),tt0026714,Academy Awards,8
Academy Award for Best Cinematography,Release Date (Descending),tt0024991,Academy Awards,7
Academy Award for Best Cinematography,Release Date (Descending),tt0022879,Academy Awards,6
Academy Award for Best Cinematography,Release Date (Descending),tt0023458,Academy Awards,5
Academy Award for Best Cinematography,Release Date (Descending),tt0022458,Academy Awards,4
Academy Award for Best Cinematography,Release Date (Descending),tt0020594,Academy Awards,3
Academy Award for Best Cinematography,Release Date (Descending),tt0019574,Academy Awards,2
Academy Award for Best Cinematography,Release Date (Descending),tt0018455,Academy Awards,1
Academy Award for Best Costume Design,Release Date (Descending),tt14230458,Academy Awards,93
Academy Award for Best Costume Design,Release Date (Descending),tt9114286,Academy Awards,92
Academy Award for Best Costume Design,Release Date (Descending),tt3228774,Academy Awards,91
Academy Award for Best Costume Design,Release Date (Descending),tt10514222,Academy Awards,90
Academy Award for Best Costume Design,Release Date (Descending),tt3281548,Academy Awards,89
Academy Award for Best Costume Design,Release Date (Descending),tt1825683,Academy Awards,88
Academy Award for Best Costume Design,Release Date (Descending),tt5776858,Academy Awards,87
Academy Award for Best Costume Design,Release Date (Descending),tt3183660,Academy Awards,86
Academy Award for Best Costume Design,Release Date (Descending),tt1392190,Academy Awards,85
Academy Award for Best Costume Design,Release Date (Descending),tt2278388,Academy Awards,84
Academy Award for Best Costume Design,Release Date (Descending),tt1343092,Academy Awards,83
Academy Award for Best Costume Design,Release Date (Descending),tt1781769,Academy Awards,82
Academy Award for Best Costume Design,Release Date (Descending),tt1655442,Academy Awards,81
Academy Award for Best Costume Design,Release Date (Descending),tt1014759,Academy Awards,80
Academy Award for Best Costume Design,Release Date (Descending),tt0962736,Academy Awards,79
Academy Award for Best Costume Design,Release Date (Descending),tt0864761,Academy Awards,78
Academy Award for Best Costume Design,Release Date (Descending),tt0414055,Academy Awards,77
Academy Award for Best Costume Design,Release Date (Descending),tt0422720,Academy Awards,76
Academy Award for Best Costume Design,Release Date (Descending),tt0397535,Academy Awards,75
Academy Award for Best Costume Design,Release Date (Descending),tt0338751,Academy Awards,74
Academy Award for Best Costume Design,Release Date (Descending),tt0167260,Academy Awards,73
Academy Award for Best Costume Design,Release Date (Descending),tt0299658,Academy Awards,72
Academy Award for Best Costume Design,Release Date (Descending),tt0203009,Academy Awards,71
Academy Award for Best Costume Design,Release Date (Descending),tt0172495,Academy Awards,70
Academy Award for Best Costume Design,Release Date (Descending),tt0151568,Academy Awards,69
Academy Award for Best Costume Design,Release Date (Descending),tt0138097,Academy Awards,68
Academy Award for Best Costume Design,Release Date (Descending),tt0120338,Academy Awards,67
