title,sort_option,imdb_id,category
Academy Award for Best Costume Design,Release Date (Descending),tt0056700,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0053779,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0055614,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0053810,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0054331,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0053291,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0052618,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0051658,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0050631,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0049777,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0049408,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0048191,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0048316,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0047437,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0045935,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0046250,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0046247,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0044391,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0044926,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0043924,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0043278,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0042192,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0041838,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0041452,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0040076,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0040416,Academy Awards
Academy Award for Best Costume Design,Release Date (Descending),tt0040491,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt17009710,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt6710474,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt12789558,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt9620292,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt6751668,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt6966692,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt5052448,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt4034228,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1895587,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt2562232,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1798709,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1853728,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1605783,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1504320,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0887912,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt1013753,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0467406,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0449059,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0375679,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0338013,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0335266,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0287467,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0280707,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0181875,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0169547,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0138097,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0119217,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0116282,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0114814,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0110912,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0107822,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0104036,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0103074,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0099653,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0097165,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0095953,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0093565,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0091167,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0090329,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0087921,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0086423,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0083987,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0082158,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0081150,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0078902,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0077362,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0075686,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0074958,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0072890,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0071315,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0070735,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0068334,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0067217,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0066206,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0064115,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0063462,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0061735,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0061138,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0059084,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0058092,Academy Awards
Academy Award for Best Original Screenplay,Release Date (Descending),tt0056085,Academy Awards
